,AZ,CO,ID,MT,NM,NV,UT,WY
"Strongly Support",37.6,34.5,12,5.8,11.1,27.2,27.5,6.4
"Somewhat Support",96.3,42.5,24.6,12,23.1,40.7,42.5,9
"Somewhat Oppose",122.5,84.8,27.4,18.8,30,42.6,43,6.6
"Strongly Oppose",234.4,234.2,58.4,36.1,75.5,91.7,89.6,15.8
"DK",3.4,4.1,0.8,0.6,0,1.1,1,0.4
"REF",4,0,0.6,0,1.2,0,1.2,0
