,AZ,CO,ID,MT,NM,NV,UT,WY
"Strongly support",220.3,194.3,40.5,28.4,74.6,91.4,77.3,10.9
"Somewhat support",153.8,106.4,38.7,18.4,33.9,57,55.7,9
"Somewhat oppose",47.9,41.8,15.7,8.2,8.7,21.3,31.8,6.4
"Strongly oppose",75.5,55.4,26.7,17,21.2,30.1,35.4,10.9
"UNSURE/REFUSED (DNR/NOT ONLINE)",0.7,2.3,2.2,1.1,2.5,3.4,4.6,1.1
