,AZ,CO,ID,MT,NM,NV,UT,WY
"Strongly Support",35,47,53,53,43,47,42,85
"Somewhat Support",82,64,104,84,62,97,72,91
"Somewhat Oppose",91,82,94,67,85,73,97,60
"Strongly Oppose",134,122,76,106,121,103,100,71
"DK",4,0,0,3,1,2,3,3
"REF",0,1,0,0,0,0,0,0
