2025
"Thinking now about our national public lands, such as U.S. forests and national monuments. There are a number of actions which could be taken in the next year or two. For each one, please tell me if you would support or oppose each one.
Expanding the amount of national forest and other public lands available to private companies for commercial logging."
,AZ,CO,ID,MT,NM,NV,UT,WY
"Strongly Support",35,47,53,53,43,47,42,85
"Somewhat Support",82,64,104,84,62,97,72,91
"Somewhat Oppose",91,82,94,67,85,73,97,60
"Strongly Oppose",134,122,76,106,121,103,100,71
"DK",4,0,0,3,1,2,3,3
"REF",0,1,0,0,0,0,0,0


Unweighted Absolute

Generated by cwpoll.org
